AE,BT,BW,CF,DT,ET,GL,HF,LF,NT,P,PF,PFC,PFCM,PFCm,SC
3.946,3.022712273,1464.3,5512.5,0.074172,3.096884279,Y,6728.563,3201.9,19.0,G,5598.6,5943.2;5684.8;5598.6;5512.5;5684.8;5168.0;5598.6;5598.6;3962.1;6373.8;5598.6;4478.9,6373.8,3962.1,S
4.009,6.367047954,2670.1,5254.1,0.081072,6.44811968,N,6496.544,2969.8,19.0,G,5340.2,3014.6;5857.0;5598.6;5340.2;5340.2;5340.2;5340.2;5340.2;3359.2;3273.0;3186.9;6373.8;5598.6;3962.1,6373.8,3014.6,S
3.905,20.208960283,1378.1,5254.1,0.087971,20.296931731,Y,6914.178,3201.9,19.0,G,5340.2,5684.8;5426.4;5168.0;5512.5;5340.2;5340.2;5340.2;5512.5;4565.0;5340.2;5340.2;5426.4;5943.2;5254.1;4048.2,5943.2,4048.2,S
3.69,24.681960343,1378.1,5512.5,0.081072,24.76303207,Y,6357.332,3062.7,19.0,G,5598.6,5598.6;5598.6;5598.6;5598.6;5598.6;5598.6;5426.4;5426.4;5426.4;5168.0;6287.7;5684.8;4737.3;4737.3,6287.7,4737.3,S
3.85,28.597959992,1292.0,5340.2,0.079347,28.677306788,N,6310.928,2969.8,19.0,G,5340.2,5598.6;5340.2;5254.1;5254.1;5340.2;5340.2;5340.2;5254.1;5426.4;5340.2;6287.7;5254.1;3962.1;3273.0,6287.7,3273.0,S
3.268,32.090377629,2067.2,5426.4,0.098321,32.188698659,N,6695.537,2949.8,19.0,G,5426.4,5168.0;5168.0;5254.1;5254.1;5512.5;5426.4;5426.4;5512.5;5598.6;5684.8;5684.8;5770.9;5770.9;4048.2;5943.2;3445.3,5943.2,3445.3,S
2.137,32.371541276,430.7,5598.6,0.058648,32.430188908,N,5805.92,4822.7,22.0,G,5598.6,5426.4;5598.6;5684.8;5598.6;5512.5;5598.6;5512.5;5512.5;5598.6,5684.8,5426.4,S
3.849,40.113278206,1722.7,5512.5,0.087971,40.201249654,Y,7146.198,3109.1,19.0,G,5598.6,6029.3;6029.3;5598.6;5512.5;5512.5;5598.6;5598.6;5340.2;5426.4;5081.8;6632.2;6546.1;5081.8;5340.2,6632.2,5081.8,S
3.824,43.064970326,2670.1,5426.4,0.098321,43.163291356,Y,7285.41,2969.8,19.0,G,5684.8,4048.2;6201.6;5598.6;5684.8;5426.4;5684.8;5684.8;5426.4;5168.0;5168.0;5168.0;6804.5;6890.6;5684.8;4220.5;3617.6,6890.6,3617.6,S
3.593,43.244363083,2239.5,5770.9,0.072447,43.316810157,Y,7424.621,3665.9,20.0,G,6029.3,6718.4;5684.8;6804.5;6460.0;6029.3;5684.8;5254.1;4823.4;4478.9;4048.2;4048.2,6804.5,4048.2,S
3.798,45.87251613,1981.1,5254.1,0.093146,45.965662369,Y,7099.794,3109.1,19.0,G,5426.4,6029.3;4995.7;5426.4;5426.4;5426.4;5340.2;4995.7;4909.6;5426.4;4909.6;6115.4;6460.0;4995.7;3703.7;3273.0,6460.0,3273.0,S
3.99,48.853454677,2239.5,5168.0,0.098321,48.951775707,Y,7331.813,2969.8,19.0,G,5081.8,3876.0;5081.8;5340.2;5168.0;4909.6;5081.8;4995.7;4909.6;4909.6;5168.0;5254.1;5168.0;6546.1;6890.6;5081.8;4220.5,6890.6,3876.0,S
3.919,52.356108551,2153.3,5512.5,0.091421,52.447529859,Y,7424.621,3201.9,19.0,G,5684.8,6201.6;6201.6;5426.4;5598.6;5684.8;5684.8;5684.8;5684.8;4995.7;5770.9;6804.5;6890.6;4909.6;3617.6,6890.6,3617.6,S
2.244,52.606223452,689.1,5598.6,0.074172,52.680395457,Y,5939.697,4826.0,22.0,G,5770.9,5081.8;5340.2;5512.5;5598.6;5770.9;5684.8;5340.2;5512.5;5770.9;5512.5;5168.0;5684.8,5770.9,5081.8,S
2.214,52.79424086,516.8,5684.8,0.060373,52.854613422,Y,6171.716,5243.6,22.0,G,5684.8,5598.6;5684.8;5684.8;5943.2;5857.0;5512.5;5770.9;5770.9;5512.5;5598.6,5943.2,5512.5,S
3.989,56.277470704,2067.2,5168.0,0.089696,56.367167083,Y,7099.794,3294.7,11.0,G,5168.0,3617.6;5684.8;5426.4;5168.0;5168.0;4823.4;5254.1;4651.2;5340.2;4651.2;6460.0;6460.0;4823.4;4048.2;5254.1,6460.0,3617.6,S
3.635,61.858060966,2239.5,5426.4,0.091421,61.949482275,Y,6774.967,3341.1,19.0,G,6546.1,5340.2;5512.5;5254.1;5512.5;5598.6;5598.6;5426.4;5598.6;5598.6;5684.8;6546.1;5770.9;4220.5;3531.4,6546.1,3531.4,S
2.22,62.089201633,689.1,5598.6,0.058648,62.147849265,Y,6032.505,4779.6,11.0,G,5770.9,5081.8;5081.8;5684.8;5684.8;5598.6;5254.1;5512.5;5770.9;5168.0,5770.9,5081.8,S
1.901,62.253070017,430.7,5770.9,0.062097,62.315167509,Y,6032.505,4965.2,22.0,G,5770.9,5512.5;5684.8;5770.9;5857.0;5770.9;5598.6;5770.9;5770.9;5512.5,5857.0,5512.5,S
3.564,64.662419079,1464.3,5426.4,0.084522,64.746940666,Y,6728.563,3248.3,19.0,G,5340.2,5684.8;5684.8;5598.6;5598.6;5340.2;5340.2;5340.2;5340.2;5512.5;6632.2;6546.1;5254.1;4048.2,6632.2,4048.2,S
1.992,64.901546808,516.8,5598.6,0.053473,64.955019649,Y,5800.485,4965.2,11.0,G,5684.8,5598.6;5684.8;5770.9;5684.8;5340.2;5340.2;5684.8;5598.6,5770.9,5340.2,S
3.702,65.094887889,2067.2,5340.2,0.094871,65.189759058,Y,6774.967,3016.3,19.0,G,5340.2,5081.8;5770.9;5770.9;5340.2;5340.2;5340.2;5684.8;5426.4;5512.5;4995.7;4995.7;6546.1;6546.1;4478.9;5254.1,6546.1,4478.9,S
3.929,67.692223484,1378.1,5081.8,0.091421,67.783644793,N,6508.249,2809.3,19.0,G,5426.4,4651.2;4737.3;5081.8;5254.1;5426.4;5512.5;4823.4;5168.0;5426.4;5512.5;3789.8;5857.0;4995.7;5168.0,5857.0,3789.8,S
2.744,68.007885738,947.5,5254.1,0.060373,68.068258301,N,5759.098,4401.3,22.0,G,5512.5,5340.2;5512.5;5512.5;5512.5;4737.3;4478.9;5512.5;5081.8;5168.0,5512.5,4478.9,S
2.064,68.168304261,689.1,5598.6,0.058648,68.226951893,N,6086.852,4822.7,22.0,G,5512.5,5770.9;5770.9;5770.9;5598.6;5426.4;5684.8;5684.8;5512.5;5168.0,5770.9,5168.0,S
3.748,70.795444372,2325.6,5340.2,0.098321,70.893765402,Y,6789.181,2903.0,19.0,G,5512.5,5168.0;4823.4;5598.6;5512.5;5168.0;5512.5;5512.5;5168.0;5340.2;5340.2;5426.4;6546.1;5168.0;4306.6;3531.4;5340.2,6546.1,3531.4,S
1.923,71.004160944,430.7,5598.6,0.062097,71.066258437,N,5946.386,4869.5,22.0,G,5598.6,5512.5;5598.6;5598.6;5512.5;5598.6;5512.5;5254.1;5684.8;5512.5;5254.1,5684.8,5254.1,S
3.78,74.704618725,1722.7,5598.6,0.093146,74.797764964,Y,6789.181,2949.8,19.0,G,5684.8,5168.0;5770.9;5684.8;5684.8;5684.8;5684.8;5598.6;5598.6;5684.8;5598.6;6373.8;5168.0;4048.2;5598.6;4651.2,6373.8,4048.2,S
3.961,76.340189264,2153.3,5254.1,0.094871,76.435060433,Y,7397.866,2575.2,19.0,G,5340.2,6029.3;5512.5;5254.1;5254.1;5340.2;4909.6;5168.0;4995.7;5512.5;5426.4;6546.1;6373.8;5254.1;4134.4;3273.0;6115.4,6546.1,3273.0,S
2.034,76.585129373,516.8,5598.6,0.063822,76.648951796,Y,5852.742,4588.5,22.0,G,5598.6,4995.7;5254.1;5512.5;5512.5;5598.6;5598.6;5426.4;5426.4;5598.6;5254.1,5598.6,4995.7,S
3.757,79.316101871,2153.3,5426.4,0.086247,79.402348389,Y,6601.893,3183.9,19.0,G,5598.6,6115.4;5598.6;5426.4;5598.6;5512.5;5254.1;5340.2;5340.2;5426.4;5770.9;6546.1;5598.6;4392.8;3962.1,6546.1,3962.1,S
2.148,79.535168026,775.2,5512.5,0.062097,79.597265518,Y,5852.742,4635.4,22.0,G,5598.6,4995.7;5426.4;5512.5;5598.6;5512.5;5254.1;5770.9;5598.6;5254.1,5770.9,4995.7,S
2.317,79.736984877,861.3,5598.6,0.065547,79.80253223,Y,6040.03,4635.4,22.0,G,5598.6,5340.2;5598.6;5598.6;5770.9;5857.0;5770.9;5684.8;5943.2;5598.6;5168.0;4909.6,5943.2,4909.6,S
3.957,79.914652703,2325.6,5426.4,0.091421,80.006074011,Y,6976.468,3043.4,19.0,G,5512.5,6029.3;5684.8;5512.5;5512.5;5340.2;5512.5;4995.7;5081.8;5340.2;5598.6;5168.0;6546.1;6460.0;5081.8;3962.1,6546.1,3962.1,S
3.288,80.09749532,2497.9,5168.0,0.053473,80.150968161,N,7116.934,3933.0,20.0,G,5512.5,6804.5;6890.6;5943.2;5512.5;5168.0;4565.0;4306.6;4134.4,6890.6,4134.4,S
2.986,80.225140166,1808.8,5168.0,0.065547,80.290687519,Y,6742.359,4073.5,20.0,G,4995.7,6201.6;6546.1;6373.8;6373.8;5512.5;5168.0;4995.7;4737.3;4478.9;4478.9,6546.1,4478.9,S
3.331,80.328635987,2067.2,5943.2,0.072447,80.401083062,Y,7678.797,4167.2,20.0,G,5598.6,6460.0;7062.9;7062.9;7321.3;6115.4;6201.6;6373.8;5770.9;5598.6;5426.4;5081.8;4909.6,7321.3,4909.6,S
3.741,84.251419301,2067.2,5168.0,0.081072,84.332491027,Y,7023.29,2996.6,19.0,G,5426.4,5598.6;4909.6;5426.4;5426.4;5426.4;4995.7;5426.4;5426.4;4823.4;6632.2;6632.2;4565.0;3703.7,6632.2,3703.7,S
2.51,84.496359411,861.3,5254.1,0.072447,84.568806485,Y,5759.098,4120.3,22.0,G,5340.2,4909.6;5081.8;5426.4;5426.4;5340.2;5340.2;4995.7;4909.6;5340.2;5340.2;4565.0;4565.0,5426.4,4565.0,S
1.968,84.649878212,516.8,5770.9,0.058648,84.708525844,Y,6180.495,5009.9,22.0,G,5770.9,5512.5;5512.5;5770.9;5857.0;5770.9;5598.6;5857.0;5857.0;5512.5,5857.0,5512.5,S
3.916,84.829270968,2584.0,5254.1,0.087971,84.917242416,Y,6789.181,2903.0,19.0,G,5254.1,5598.6;5426.4;5426.4;5254.1;4909.6;4909.6;4909.6;5168.0;5426.4;6029.3;6632.2;5081.8;3703.7;3273.0,6632.2,3273.0,S
4.129,86.954831717,1808.8,5426.4,0.077622,87.032453583,Y,6836.003,2856.1,19.0,G,5598.6,5081.8;5598.6;5598.6;5512.5;5598.6;5512.5;5857.0;4134.4;6460.0;6460.0;5081.8;4134.4,6460.0,4134.4,S
2.866,87.390789242,1636.5,5770.9,0.082797,87.473585899,N,6742.359,2715.7,19.0,G,5943.2,4823.4;4651.2;5340.2;4995.7;4823.4;4651.2;5512.5;6029.3;5598.6;5168.0;5684.8;5943.2;6201.6,6201.6,4651.2,S
3.126,87.601230745,2325.6,5254.1,0.067272,87.668503029,Y,6836.003,3792.6,20.0,G,5598.6,6029.3;6546.1;6546.1;5943.2;5598.6;5254.1;4737.3;4306.6;4134.4;4134.4;4220.5,6546.1,4134.4,S
3.018,87.728875591,1981.1,5340.2,0.084522,87.813397178,Y,7023.29,4120.3,20.0,G,4909.6,6287.7;6201.6;6115.4;6546.1;6287.7;5684.8;5254.1;4909.6;4651.2;4478.9;4478.9;4478.9;4478.9;4565.0,6546.1,4478.9,S
3.177,87.844445924,1808.8,6460.0,0.070722,87.915168069,Y,7491.51,4541.7,20.0,G,5684.8,6632.2;6632.2;6976.8;6976.8;6718.4;6546.1;6029.3;5684.8;5340.2;4995.7;4823.4,6976.8,4823.4,S
3.886,90.415637409,2153.3,5254.1,0.100046,90.515683369,Y,6836.003,3090.2,19.0,G,5254.1,3617.6;5857.0;5857.0;5426.4;5340.2;5081.8;5254.1;5340.2;5168.0;5340.2;5426.4;5426.4;6546.1;5857.0;4220.5;3617.6,6546.1,3617.6,S
2.66,90.66402738,947.5,5340.2,0.072447,90.736474454,Y,5899.564,4541.7,22.0,G,5254.1,4995.7;5168.0;5254.1;5426.4;5340.2;5254.1;5254.1;5426.4;5770.9;5426.4;4651.2,5770.9,4651.2,S
2.238,90.820996042,775.2,5684.8,0.070722,90.891718186,Y,6040.03,4822.7,22.0,G,5857.0,5684.8;5770.9;5857.0;5943.2;5857.0;5426.4;5512.5;5857.0;5512.5;5254.1;5254.1,5943.2,5254.1,S
3.96,92.840798456,2153.3,5254.1,0.086247,92.927044974,Y,6774.967,3016.3,19.0,G,5081.8,5426.4;5340.2;5254.1;5081.8;5254.1;5254.1;5081.8;5168.0;4995.7;5254.1;6546.1;5512.5;5081.8;5943.2,6546.1,4995.7,S
2.064,93.118512242,602.9,5426.4,0.063822,93.182334665,Y,5661.274,4501.2,22.0,G,5340.2,5254.1;5340.2;5512.5;5598.6;5426.4;5081.8;5512.5;5512.5;5254.1;5168.0,5598.6,5081.8,S
2.244,93.259956531,689.1,5684.8,0.063822,93.323778954,Y,6032.505,4686.8,11.0,G,5684.8,5770.9;5770.9;5684.8;5684.8;5684.8;5512.5;5943.2;5770.9;5340.2;5081.8,5943.2,5081.8,S
3.705,93.427274775,1722.7,5340.2,0.094871,93.522145945,Y,6357.332,3016.3,19.0,G,5426.4,6201.6;5598.6;5426.4;5512.5;5340.2;5081.8;5426.4;5081.8;5340.2;5426.4;5426.4;6115.4;6201.6;4565.0;3531.4,6201.6,3531.4,S
3.283,93.59976781,1894.9,5426.4,0.053473,93.653240651,Y,7006.986,3944.3,20.0,G,5684.8,6115.4;6373.8;5943.2;5684.8;5340.2;4823.4;4478.9;4134.4,6373.8,4134.4,S
3.101,93.699813771,1894.9,5426.4,0.074172,93.773985776,Y,7053.39,4176.3,20.0,G,4651.2,6029.3;6373.8;6373.8;6201.6;6718.4;6201.6;5684.8;5081.8;4823.4;4651.2;4565.0;4565.0,6718.4,4565.0,S
3.324,93.810209313,2325.6,5770.9,0.068997,93.879206527,Y,7842.256,4222.8,20.0,G,5512.5,6890.6;7149.0;6632.2;6718.4;6460.0;5770.9;5512.5;5340.2;4995.7;5512.5;4823.4,7149.0,4823.4,S
3.612,93.906805413,2756.2,5770.9,0.077622,93.984427279,Y,8399.103,4083.5,20.0,G,4995.7,5857.0;7149.0;7149.0;8096.5;6115.4;6201.6;7235.2;6201.6;5684.8;5426.4;4995.7;4737.3;4651.2,8096.5,4651.2,S
3.633,94.008576303,2411.7,5857.0,0.086247,94.094822821,Y,8445.507,3851.5,20.0,G,5770.9,5943.2;6373.8;7235.2;7579.7;4134.4;6632.2;6718.4;6632.2;5943.2;5770.9;5426.4;4995.7;4737.3;5081.8,7579.7,4134.4,S
